Generation,GenerationBestReward,AverageReward
0,953.4957,-31.8237
1,1404.8820,269.3294
2,1494.1570,336.5409
3,1800.3610,183.3968
4,1824.5500,328.5527
5,1814.2370,460.2021
6,1850.4060,235.5438
7,1816.0750,166.9952
8,1846.9750,346.0702
9,1840.9170,242.1484
10,1895.6800,342.6288
