Generation,GenerationBestReward,AverageReward
300,1104.3690,21.0801
301,1146.4270,644.7906
302,1166.4850,881.7620
303,1214.6340,745.3546
304,1225.0350,604.7197
305,1227.8810,287.1713
306,1227.8810,340.8946
307,1227.8810,249.1594
308,1227.8810,234.4216
309,1227.8810,235.7294
310,1227.8810,327.8372
311,1227.8810,253.3684
312,1227.8810,370.6259
313,1227.8810,320.0878
314,1244.4170,316.7768
315,1252.9720,507.4402
316,1264.2500,938.0151
317,1271.4220,832.6096
318,1313.5440,783.8134
319,1325.0390,777.6606
320,1335.5040,851.3452
321,1348.3210,712.7198
322,1351.1510,655.3194
323,1356.6520,736.1155
324,1361.1790,714.5103
325,1361.6100,702.1786
326,1361.6100,548.2495
327,1366.3020,779.4778
328,1367.1450,562.9202
329,1367.9360,708.5277
330,1367.9360,593.4343
331,1367.9360,612.5860
332,1367.9360,661.8698
333,1367.9360,543.6106
334,1367.9360,488.6737
335,1369.1460,520.8738
336,1370.7080,669.8359
337,1372.0770,543.3469
338,1374.0110,585.0043
339,1375.3230,782.1794
340,1375.3230,627.2242
341,1376.5640,724.4066
342,1378.0020,664.8260
343,1378.0020,637.1984
344,1378.5700,654.6899
345,1380.1750,657.6283
346,1382.6750,581.8799
347,1384.8360,638.1080
348,1386.2810,586.5493
349,1387.1540,695.7424
