Generation,GenerationBestReward,AverageReward
150,1783.5660,46.5258
151,1807.6870,761.7258
152,1845.8400,603.5006
153,1870.8940,559.5372
154,1996.3770,707.9412
155,2223.0710,1387.0050
156,2254.0660,1630.3950
157,2264.6330,1346.3950
158,2271.1530,1239.7070
159,2278.2950,965.5948
160,2281.4820,1033.6400
161,2285.7970,1084.0930
162,2286.9100,1186.1800
163,2290.0380,1107.7790
164,2295.6710,1096.3610
165,2308.4150,1536.2100
166,2313.7350,1431.4480
167,2318.6920,1320.8700
168,2327.4070,927.6064
169,2331.3890,1040.5230
170,2334.7820,827.4907
171,2343.8370,969.2516
172,2348.7060,794.6937
173,2359.1740,1144.9620
174,2363.0830,757.9785
175,2370.0210,631.6676
176,2370.6020,475.3012
177,2376.2620,580.9540
178,2377.6460,739.8129
179,2378.1990,508.3401
180,2381.1760,559.0748
181,2380.6960,597.2396
182,2379.6030,651.3705
183,2378.6730,577.9625
184,2381.4380,463.1174
185,2389.1190,614.3519
186,2387.4800,632.9390
187,2390.2930,635.0854
188,2395.1540,543.7529
189,2402.8070,478.9551
190,2403.9360,497.6530
191,2404.9980,527.9182
192,2406.2080,477.3791
193,2401.7760,543.1558
194,2401.3790,517.4599
195,2401.1860,633.6708
196,2398.3030,492.7349
197,2403.3000,825.4698
198,2403.6960,679.3038
199,2403.2130,763.9907
200,2407.8400,737.9052
201,2405.3570,508.8778
202,2411.5740,607.3461
203,2411.6490,665.5647
204,2420.2330,647.9472
205,2414.7340,641.3959
206,2416.8570,803.7037
207,2420.2520,649.3908
208,2416.5190,591.9906
209,2417.0800,673.9140
210,2418.1690,744.4984
211,2417.2080,646.3404
212,2420.4370,717.0045
213,2425.8990,830.0479
214,2422.3890,519.3357
215,2419.7040,710.8782
216,2421.6490,656.3674
217,2424.0110,591.4722
218,2425.1350,676.1942
219,2421.1470,674.2938
220,2421.6130,708.6646
221,2421.2770,711.4817
222,2421.6490,810.3320
223,2426.0830,714.5212
224,2426.5860,456.3346
