Generation,GenerationBestReward,AverageReward
225,1875.0290,76.1321
226,1902.1730,1483.4170
227,1936.7770,1203.3180
228,1946.9280,785.9210
229,1950.9480,816.4738
230,1954.3580,832.5446
231,1958.1710,810.4508
232,1962.0390,723.2809
233,1966.4100,742.3546
234,1969.9590,670.7247
235,1970.6520,844.8488
236,1970.0900,823.1083
237,1970.6560,684.7017
238,1971.5060,834.8592
239,1980.7230,895.7746
240,1984.3420,698.0160
241,1983.2510,688.5291
242,1987.8650,814.8118
243,1987.3680,777.0031
244,1988.7850,723.0413
245,1990.4560,865.2037
246,1994.9800,615.2951
247,1998.2500,803.4329
248,2007.7980,755.1289
249,2012.2510,688.0898
250,2017.0090,813.3197
251,2019.7250,747.1904
252,2018.4780,513.3765
253,2019.3250,546.8973
254,2019.3440,489.6942
255,2019.7630,594.2582
256,2018.8620,542.5117
257,2021.2620,798.2650
258,2019.6480,785.6754
259,2021.5390,882.5925
260,2024.6610,751.9066
261,2025.1370,1033.9680
262,2024.6160,542.2164
263,2024.2320,681.6576
264,2025.2290,739.6916
265,2024.5260,781.3431
266,2025.3560,562.3923
267,2025.1430,621.1038
268,2023.3870,540.8408
269,2023.8760,700.5538
270,2024.4520,782.7977
271,2026.9010,639.0795
272,2025.2290,701.2793
273,2028.3370,585.4200
274,2024.2450,801.9493
275,2025.5290,611.0750
276,2025.6900,707.7034
277,2027.6790,761.4172
278,2031.0120,663.3890
279,2030.3600,398.9339
280,2030.0730,528.1506
281,2030.4020,782.6586
282,2031.1620,657.4777
283,2032.9120,590.9607
284,2032.9120,615.6785
285,2034.7450,644.9135
286,2033.0380,571.9278
287,2034.3900,588.6420
288,2033.5390,623.5182
289,2035.6390,595.7732
290,2035.7010,908.0978
291,2035.3280,629.9641
292,2036.1490,779.6576
293,2037.7350,978.7656
294,2042.6560,727.5207
295,2041.9810,428.3701
296,2041.9810,681.1548
297,2040.2010,478.9377
298,2040.3260,778.9026
299,2040.0960,629.1931
