Generation,GenerationBestReward,AverageReward
350,0.0000,-0.0421
351,-0.0032,-0.0359
352,-0.0031,-0.0172
353,1623.3780,16.2232
354,1968.8910,566.7712
355,2055.5960,893.6252
356,2080.8150,1101.5040
357,2239.3310,1462.0730
358,2309.9270,1743.8670
359,2367.9210,1148.0510
360,2395.6640,775.5264
361,2441.6500,1324.5330
362,2487.5330,1203.2270
363,2532.2860,1261.2430
364,2532.6710,778.8224
365,2532.3740,791.9204
366,2543.8070,934.8463
367,2543.8070,683.4872
368,2543.8070,494.9313
369,2543.8070,823.0778
370,2547.8860,477.6957
371,2547.8860,784.2687
372,2547.8860,685.9462
373,2547.8860,681.6082
374,2547.8860,766.5779
375,2547.8860,538.3794
376,2552.0320,504.3361
377,2547.8860,694.5273
378,2552.0320,778.7830
379,2552.0320,593.0417
